Елементи даних,Об'єкт,Тип даних,Умова на значення
назва,матеріал,текст,обов'язковий
id_матеріалу,матеріал,текст,обов'язковий
ID,покупець,число,обов'язковий (ПК)
ПІБ,покупець,текст,обов'язковий
ID,працівник,число,обов'язковий (ПК)
ПІБ,працівник,текст,обов'язковий
ЗП,працівник,число,обов'язковий
посада,працівник,текст,обов'язковий
ID,виробник,число,обов'язковий (ПК)
адреса (код),виробник,число,обов'язковий
номер_телефону,виробник,число,обов'язковий
id_товару,товар,число,обов'язковий (ПК)
id_виробника,товар,число,обов'язковий (ЗК)
назва,товар,текст,обов'язковий
ціна,товар,число,обов'язковий

модель,гітара,число,обов'язковий (ПК)
id_матеріалу_корпуса,гітара,число,необов'язковий (ЗК)
id_матеріалу_грифа,гітара,число,необов'язковий (ЗК)
к-сть_струн,гітара,число,необов'язковий
к-сть_ладів,гітара,число,необов'язковий
довжина,гітара,число,необов'язковий
ширина,гітара,число,необов'язковий
мензура,гітара,число,необов'язковий

модель,смичковий,число,обов'язковий (ПК)
id_матеріалу,cмичковий,число,необов'язковий (ЗК)
розмір,cмичковий,число,необов'язковий

№_замовлення,замовлення,число,обов'язковий (ПК)
дата,замовлення,число,обов'язковий
ID_покупця,замовлення,число,обов'язковий (ЗК)
ID_продавця,замовлення,число,обов'язковий (ЗК)

id_деталей,деталі замовлення,число,обов'язковий (ПК)
id_товару,деталі замовлення,число,обов'язковий (ЗК)
кількість_товару,деталі замовлення,число,обов'язковий
сума,деталі замовлення,число,обов'язковий
