N,S,N*a,D,d
100,16.799999999999965,16.8,3.552713678800501e-14,2.114710523095536e-13
200,33.599999999999895,33.6,1.0658141036401503e-13,3.172065784643304e-13
300,50.39999999999982,50.400000000000006,1.8474111129762605e-13,3.6654982400322625e-13
400,67.19999999999989,67.2,1.1368683772161603e-13,1.691768418476429e-13
500,84.00000000000053,84.0,5.258016244624741e-13,6.259543148362788e-13
600,100.80000000000116,100.80000000000001,1.1510792319313623e-12,1.1419436824715894e-12
700,117.6000000000018,117.60000000000001,1.7905676941154525e-12,1.522591576628786e-12
800,134.40000000000242,134.4,2.4158453015843406e-12,1.7975039446312057e-12
900,151.20000000000306,151.20000000000002,3.0411229090532288e-12,2.0113246752997542e-12
1000,168.0000000000037,168.0,3.694822225952521e-12,2.1992989440193577e-12
1100,184.80000000000433,184.8,4.320099833421409e-12,2.33771636007652e-12
1200,201.60000000000497,201.60000000000002,4.945377440890297e-12,2.4530642067908217e-12
1300,218.4000000000056,218.4,5.5990767577895895e-12,2.5636798341527423e-12
1400,235.20000000000624,235.20000000000002,6.224354365258478e-12,2.6464091689024136e-12
1500,252.00000000000688,252.00000000000003,6.849631972727366e-12,2.718107925685462e-12
1600,268.8000000000075,268.8,7.503331289626658e-12,2.7914178904861077e-12
1700,285.60000000000815,285.6,8.128608897095546e-12,2.8461515746132862e-12
1800,302.4000000000088,302.40000000000003,8.753886504564434e-12,2.894803738281889e-12
1900,319.2000000000094,319.20000000000005,9.379164112033322e-12,2.938334621564324e-12
2000,336.00000000001006,336.0,1.0061285138363019e-11,2.9944301007032795e-12
2100,352.8000000000107,352.8,1.0686562745831907e-11,3.029071073081606e-12
2200,369.60000000001133,369.6,1.1311840353300795e-11,3.0605628661528123e-12
2300,386.40000000001197,386.40000000000003,1.1937117960769683e-11,3.089316242435218e-12
2400,403.2000000000126,403.20000000000005,1.2562395568238571e-11,3.115673504027423e-12
2500,420.00000000001324,420.0,1.3244516594568267e-11,3.1534563320400636e-12
2600,436.8000000000139,436.8,1.3869794202037156e-11,3.1753191854480668e-12
2700,453.6000000000145,453.6,1.4495071809506044e-11,3.1955625682332547e-12
2800,470.40000000001515,470.40000000000003,1.5120349416974932e-11,3.214359995105215e-12
2900,487.2000000000158,487.20000000000005,1.574562702444382e-11,3.2318610477101433e-12
3000,504.0000000000164,504.00000000000006,1.6370904631912708e-11,3.2481953634747435e-12
3100,520.800000000017,520.8000000000001,1.693933882052079e-11,3.252561217457908e-12
3200,537.6000000000176,537.6,1.7621459846850485e-11,3.277801310798081e-12
3300,554.4000000000183,554.4000000000001,1.8189894035458565e-11,3.2810054176512557e-12
3400,571.2000000000189,571.2,1.887201506178826e-11,3.3039242054951433e-12
3500,588.0000000000196,588.0,1.9554136088117957e-11,3.3255333483193804e-12
3600,604.8000000000202,604.8000000000001,2.0122570276726037e-11,3.3271445563369767e-12
3700,621.6000000000208,621.6,2.0804691303055733e-11,3.3469580603371515e-12
3800,638.4000000000215,638.4000000000001,2.1373125491663814e-11,3.3479206597217747e-12
3900,655.2000000000221,655.2,2.205524651799351e-11,3.366185365994125e-12
4000,672.0000000000227,672.0,2.2737367544323206e-11,3.383536836952858e-12
4100,688.8000000000234,688.8000000000001,2.3305801732931286e-11,3.3835368369528577e-12
4200,705.600000000024,705.6,2.3987922759260982e-11,3.399648917128824e-12
4300,722.4000000000246,722.4000000000001,2.4556356947869062e-11,3.399274217589848e-12
4400,739.2000000000253,739.2,2.523847797419876e-11,3.4142962627433385e-12
4500,756.0000000000259,756.0,2.5920599000528455e-11,3.4286506614455627e-12
4600,772.8000000000266,772.8000000000001,2.6489033189136535e-11,3.427669926130504e-12
4700,789.6000000000272,789.6,2.717115421546623e-11,3.4411289533265235e-12
4800,806.4000000000278,806.4000000000001,2.773958840407431e-11,3.4399291175687388e-12
4900,823.2000000000285,823.2,2.8421709430404007e-11,3.4525886091355692e-12
5000,840.0000000000291,840.0,2.9103830456733704e-11,3.4647417210397264e-12
5100,856.8000000000297,856.8000000000001,2.9672264645341784e-11,3.463149468410572e-12
5200,873.6000000000304,873.6,3.035438567167148e-11,3.4746320594862043e-12
