x,y1,y2,y3,y4
0.00,-0.00,0.00,0.75,0.30
0.01,0.03,0.03,0.72,0.35
0.02,0.06,0.06,0.70,0.39
0.03,0.09,0.09,0.68,0.43
0.04,0.12,0.12,0.66,0.46
0.05,0.15,0.15,0.64,0.49
0.06,0.18,0.18,0.63,0.52
0.07,0.21,0.21,0.62,0.54
0.08,0.24,0.24,0.61,0.57
0.09,0.27,0.27,0.60,0.58
0.10,0.30,0.30,0.60,0.60
0.11,0.33,0.33,0.60,0.61
0.12,0.36,0.36,0.60,0.63
0.13,0.39,0.39,0.60,0.64
0.14,0.42,0.42,0.61,0.65
0.15,0.45,0.45,0.61,0.66
0.16,0.48,0.48,0.62,0.67
0.17,0.51,0.51,0.63,0.69
0.18,0.54,0.54,0.65,0.70
0.19,0.57,0.57,0.66,0.71
0.20,0.60,0.60,0.68,0.72
0.21,0.63,0.63,0.69,0.73
0.22,0.66,0.66,0.71,0.75
0.23,0.69,0.69,0.73,0.76
0.24,0.72,0.72,0.75,0.78
0.25,0.75,0.75,0.77,0.79
0.26,0.78,0.78,0.80,0.81
0.27,0.81,0.81,0.82,0.83
0.28,0.84,0.84,0.85,0.85
0.29,0.87,0.87,0.87,0.88
0.30,0.90,0.90,0.90,0.90
0.31,0.93,0.93,0.93,0.93
0.32,0.96,0.96,0.96,0.95
0.33,0.99,0.99,0.99,0.98
0.34,1.02,1.02,1.02,1.01
0.35,1.05,1.05,1.05,1.04
0.36,1.08,1.08,1.08,1.07
0.37,1.11,1.11,1.11,1.10
0.38,1.14,1.14,1.14,1.13
0.39,1.17,1.17,1.17,1.17
0.40,1.20,1.20,1.20,1.20
0.41,1.23,1.23,1.23,1.23
0.42,1.26,1.26,1.26,1.27
0.43,1.29,1.29,1.29,1.30
0.44,1.32,1.32,1.32,1.33
0.45,1.35,1.35,1.35,1.36
0.46,1.38,1.38,1.38,1.40
0.47,1.41,1.41,1.41,1.42
0.48,1.44,1.44,1.44,1.45
0.49,1.47,1.47,1.47,1.48
0.50,1.50,1.50,1.50,1.50
0.51,1.53,1.53,1.53,1.52
0.52,1.56,1.56,1.55,1.54
0.53,1.59,1.59,1.58,1.55
0.54,1.62,1.62,1.60,1.56
0.55,1.65,1.65,1.63,1.56
0.56,1.68,1.68,1.65,1.56
0.57,1.71,1.71,1.67,1.56
0.58,1.74,1.74,1.69,1.54
0.59,1.77,1.77,1.71,1.53
