h,df/dx1,df/dx2,df/dx,delta d_1,delta d_2
1.00e+00,-0.048115,-0.048000,-0.048000,2.40e-01,6.92e-04
1.00e-01,-0.048001,-0.048000,-0.048000,2.40e-03,6.91e-08
1.00e-02,-0.048000,-0.048000,-0.048000,2.40e-05,6.97e-12
1.00e-03,-0.048000,-0.048000,-0.048000,2.40e-07,7.35e-11
1.00e-04,-0.048000,-0.048000,-0.048000,2.30e-09,2.08e-10
1.00e-05,-0.048000,-0.048000,-0.048000,5.94e-10,2.52e-09
1.00e-06,-0.048000,-0.048000,-0.048000,6.30e-08,8.23e-08
1.00e-07,-0.048000,-0.048000,-0.048000,1.79e-07,8.23e-08
1.00e-08,-0.048000,-0.048000,-0.048000,2.49e-06,5.64e-07
1.00e-09,-0.048000,-0.048000,-0.048000,1.49e-05,2.37e-05
1.00e-10,-0.048000,-0.048000,-0.048000,1.31e-04,1.31e-04
1.00e-11,-0.047998,-0.047995,-0.048000,4.76e-03,1.05e-02
1.00e-12,-0.047989,-0.047980,-0.048000,2.21e-02,4.14e-02
1.00e-13,-0.047740,-0.047786,-0.048000,5.43e-01,4.46e-01
1.00e-14,-0.047184,-0.046259,-0.048000,1.70e+00,3.63e+00
1.00e-15,-0.083267,-0.092519,-0.048000,7.35e+01,9.27e+01
1.00e-16,0.000000,0.092519,-0.048000,1.00e+02,2.93e+02
