"y_1","y_2","y_4","x"
0,0,0,0
0.0059,0.0058499,0.005852,0.05
0.005848,0.005563,0.005568,0.1
0.0056949999,0.005288,0.0052949,0.15
0.005544,0.005029,0.005037,0.2
0.005394,0.004782,0.004792,0.25
0.005245,0.0045459,0.0045579,0.3
0.005098,0.004323,0.004335,0.35
0.004953,0.004111,0.004125,0.4
0.004807999,0.0039079,0.003923,0.45
0.004667,0.003716,0.003731,0.5
0.004528,0.003534,0.00355,0.55
0.004391,0.00336,0.003377,0.6
0.004256,0.003194,0.0032119,0.65
0.004124,0.003037,0.003055,0.7
0.003995,0.0028879,0.002906,0.75
0.003869,0.002746,0.002765,0.8
0.003745,0.00261,0.002629,0.85
0.003624,0.002483,0.002502,0.9
0.003506,0.00236,0.002379,0.95
0.003391,0.002244,0.002263,1
